Frequency_(MHz),VSWR_Test_1,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16,VSWR_Test_17,VSWR_Test_18,VSWR_Test_19
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
105.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
110.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
116.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
122.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
128.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
134.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
141.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
148.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
155.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
163.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
171.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
180.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
189.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
198.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
208.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
218.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
229.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,86.79,100.00,100.00
241.00,77.80,100.00,0.00,0.00,0.00,0.00,0.00,100.00,86.30,100.00,0.00,0.00,0.00,0.00,100.00,86.73,78.50,100.00,100.00
253.00,69.74,100.00,0.00,0.00,0.00,0.00,0.00,100.00,80.02,100.00,0.00,0.00,0.00,0.00,81.90,80.76,76.16,100.00,100.00
265.00,62.82,100.00,0.00,0.00,0.00,0.00,0.00,100.00,78.41,0.00,0.00,0.00,0.00,0.00,81.73,75.35,72.22,100.00,100.00
279.00,56.98,83.56,0.00,0.00,0.00,0.00,0.00,100.00,71.23,0.00,0.00,0.00,0.00,0.00,74.59,73.96,67.63,100.00,100.00
293.00,53.09,70.55,0.00,0.00,0.00,0.00,0.00,100.00,68.06,0.00,0.00,0.00,0.00,0.00,69.98,69.98,64.76,100.00,100.00
307.00,47.92,63.97,0.00,0.00,0.00,0.00,0.00,100.00,64.93,0.00,0.00,0.00,0.00,0.00,67.71,64.69,60.00,100.00,100.00
323.00,43.98,58.87,0.00,0.00,0.00,0.00,0.00,100.00,62.25,0.00,0.00,0.00,0.00,0.00,65.04,61.37,58.48,100.00,100.00
339.00,40.82,52.87,0.00,0.00,0.00,0.00,0.00,100.00,60.40,0.00,0.00,0.00,0.00,0.00,60.82,59.17,55.57,100.00,100.00
356.00,37.01,46.77,0.00,0.00,0.00,0.00,0.00,100.00,56.50,0.00,0.00,0.00,0.00,0.00,58.20,55.77,53.05,100.00,100.00
373.00,34.18,43.29,0.00,0.00,0.00,0.00,0.00,100.00,53.57,0.00,0.00,0.00,0.00,0.00,54.75,53.57,51.35,100.00,100.00
392.00,31.29,38.93,0.00,0.00,0.00,0.00,0.00,100.00,49.88,0.00,0.00,0.00,0.00,0.00,52.28,50.75,47.82,100.00,100.00
412.00,28.62,35.37,0.00,0.00,0.00,0.00,0.00,100.00,49.04,0.00,0.00,0.00,0.00,0.00,49.32,48.63,45.69,100.00,100.00
432.00,26.37,32.59,0.00,0.00,0.00,0.00,0.00,100.00,45.71,0.00,0.00,0.00,0.00,0.00,46.69,45.00,42.78,100.00,100.00
454.00,24.37,29.35,0.00,0.00,0.00,0.00,0.00,83.04,44.07,0.00,0.00,0.00,0.00,0.00,45.46,42.88,41.45,100.00,84.25
476.00,22.77,27.35,0.00,0.00,0.00,0.00,0.00,74.11,42.03,0.00,0.00,0.00,0.00,0.00,42.54,40.75,40.00,84.57,79.54
500.00,20.95,24.83,0.00,0.00,0.00,0.00,0.00,70.06,39.95,0.00,0.00,0.00,0.00,0.00,40.32,38.53,36.51,76.88,73.93
525.00,19.53,22.66,0.00,0.00,0.00,0.00,0.00,66.76,0.00,0.00,0.00,0.00,0.00,0.00,38.51,36.87,35.81,71.13,71.13
552.00,17.91,20.84,0.00,0.00,0.00,0.00,0.00,58.86,0.00,0.00,0.00,0.00,0.00,0.00,36.34,35.09,33.22,64.79,63.60
579.00,16.71,19.22,0.00,0.00,0.00,0.00,0.00,57.77,0.00,0.00,0.00,0.00,0.00,0.00,34.43,33.82,32.50,62.78,62.33
608.00,15.32,17.60,0.00,0.00,0.00,0.00,0.00,52.66,0.00,0.00,0.00,0.00,0.00,0.00,32.43,31.20,29.86,57.74,56.43
639.00,13.65,15.40,0.00,0.00,0.00,0.00,0.00,43.29,0.00,0.00,0.00,0.00,0.00,0.00,28.52,27.88,26.68,45.80,45.20
670.00,12.50,14.17,0.00,0.00,0.00,0.00,0.00,39.75,0.00,0.00,0.00,0.00,0.00,0.00,26.77,26.21,24.93,43.64,41.55
704.00,11.62,13.13,0.00,0.00,0.00,0.00,0.00,38.41,0.00,0.00,0.00,0.00,0.00,0.00,25.77,25.21,23.90,41.44,40.57
739.00,10.91,12.22,0.00,0.00,0.00,0.00,0.00,36.34,0.00,0.00,0.00,0.00,0.00,0.00,24.51,23.68,22.69,39.12,38.86
776.00,10.14,11.27,0.00,0.00,0.00,0.00,0.00,34.57,0.00,0.00,0.00,0.00,0.00,0.00,23.69,22.70,21.88,37.64,37.24
815.00,9.34,10.26,0.00,0.00,0.00,0.00,0.00,31.07,0.00,0.00,0.00,0.00,0.00,0.00,21.64,20.69,20.07,33.79,33.47
856.00,8.64,9.46,0.00,0.00,0.00,0.00,0.00,28.95,0.00,0.00,0.00,0.00,0.00,0.00,20.37,19.57,18.77,31.52,31.35
899.00,7.97,8.69,0.00,0.00,0.00,0.00,0.00,25.96,0.00,0.00,0.00,0.00,0.00,0.00,18.67,18.07,17.45,28.66,28.33
943.00,7.44,8.03,0.00,0.00,0.00,0.00,0.00,24.77,0.00,0.00,0.00,0.00,0.00,0.00,17.97,17.28,16.49,27.47,26.71
991.00,6.88,7.45,0.00,0.00,0.00,0.00,0.00,22.65,0.00,0.00,0.00,0.00,0.00,0.00,16.65,15.91,15.36,24.64,24.33
1040.00,6.37,6.89,0.00,0.00,0.00,0.00,0.00,20.70,0.00,0.00,0.00,0.00,0.00,0.00,15.28,14.71,14.15,22.73,22.32
1092.00,5.89,6.34,0.00,0.00,0.00,0.00,0.00,19.04,0.00,0.00,0.00,0.00,0.00,0.00,13.92,13.42,12.90,20.60,20.15
1147.00,5.46,5.86,0.00,0.00,0.00,0.00,0.00,17.05,0.00,0.00,0.00,0.00,0.00,0.00,12.92,12.45,11.92,18.79,18.53
1204.00,5.07,5.43,0.00,0.00,0.00,0.00,0.00,15.67,0.00,0.00,0.00,0.00,0.00,0.00,11.80,11.33,10.95,17.01,16.90
1264.00,4.72,5.03,0.00,0.00,0.00,0.00,0.00,14.24,0.00,0.00,0.00,0.00,0.00,0.00,10.90,10.57,10.13,15.49,15.38
1327.00,4.39,4.66,0.00,0.00,0.00,0.00,0.00,12.97,0.00,0.00,0.00,0.00,0.00,0.00,10.04,9.73,9.34,14.18,13.86
1394.00,4.10,4.33,0.00,0.00,0.00,0.00,0.00,11.79,0.00,0.00,0.00,0.00,0.00,0.00,9.27,8.98,8.71,12.85,12.57
1464.00,3.83,4.03,0.00,0.00,0.00,0.00,0.00,10.72,0.00,0.00,0.00,0.00,0.00,0.00,8.67,8.38,8.10,11.71,11.55
1537.00,3.58,3.76,0.00,0.00,0.00,0.00,0.00,9.88,0.00,0.00,0.00,0.00,0.00,0.00,8.03,7.78,7.54,10.71,10.50
1614.00,3.37,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.54,7.30,7.10,9.81,9.69
1694.00,3.17,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.99,6.85,6.67,8.99,8.91
1779.00,2.99,3.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.61,6.47,6.32,8.39,8.30
1868.00,2.83,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.27,6.12,5.98,7.81,7.70
1961.00,2.69,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.96,5.84,5.71,7.28,7.23
2059.00,2.57,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,5.59,5.49,6.86,6.79
2162.00,2.45,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.44,5.36,5.26,6.45,6.39
2270.00,2.35,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.23,5.16,5.07,6.12,6.08
2384.00,2.25,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,4.99,4.91,5.81,5.78
2503.00,2.17,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,4.82,4.75,5.56,5.52
2628.00,2.09,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,4.66,4.60,5.30,5.29
2760.00,2.02,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,4.53,4.49,5.08,5.07
2898.00,1.96,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.42,4.40,4.36,4.91,4.90
3043.00,1.91,1.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,4.27,4.25,4.74,4.74
3195.00,1.86,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,4.19,4.17,4.61,4.62
3355.00,1.82,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.12,4.11,4.09,4.48,4.49
3522.00,1.78,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.05,4.05,4.03,4.38,4.41
3698.00,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.01,4.00,4.29,4.31
3883.00,1.72,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.93,3.96,3.96,4.20,4.23
4077.00,1.69,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,3.93,3.93,4.12,4.16
4281.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.87,3.91,3.92,4.06,4.11
4495.00,1.66,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.84,3.89,3.89,4.00,4.07
4720.00,1.64,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83,3.88,3.89,3.96,4.05
4956.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.81,3.90,3.91,3.93,4.04
5204.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.81,3.94,3.96,3.91,4.05
5464.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.84,4.01,4.04,3.92,4.08
5737.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,4.13,4.16,3.94,4.16
6024.00,1.64,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,4.34,4.39,3.96,4.25
6325.00,1.64,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.15,4.62,4.69,3.97,4.36
6642.00,1.65,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.70,4.76,3.96,4.44
6974.00,1.65,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.03,4.62,4.68,3.88,4.48
7322.00,1.65,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.86,4.55,4.62,3.75,4.50
7689.00,1.64,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.72,4.53,4.61,3.63,4.50
8073.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,4.49,4.57,3.53,4.48
8477.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,4.40,4.49,3.44,4.42
8901.00,1.59,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,4.31,4.41,3.39,4.35
9346.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.44,4.22,4.32,3.37,4.26
9813.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,4.14,4.25,3.38,4.20
10303.00,1.52,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,4.09,4.21,3.41,4.15
10819.00,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,4.06,4.20,3.47,4.16
11360.00,1.47,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.59,4.06,4.20,3.53,4.19
11928.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.66,4.13,4.30,3.62,4.25
12524.00,1.44,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.73,4.22,4.44,3.70,4.32
13150.00,1.44,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.81,4.35,4.65,3.79,4.42
13808.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,4.38,4.96,3.92,4.53
14498.00,1.48,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,4.39,4.83,4.11,4.61
